狮子桥停车场,宝杨路宝杨支路,121.513596,31.138227
富锦路站P+R停车库,杨北路1号,121.42457,31.392433
沪太百安居停车场,沪太路1800号,121.55971,31.204615
玻璃博物馆停车库,长江西路685号,121.47684,31.275059
闿和阳光大厦停车库,宝杨路3003号,121.567764,31.148336
团结路美食广场停车场,团结路14号,121.48547,31.40488
三水国际广场停车库,化成路366弄8号,121.49949,31.379206
零点广场二期停车库,宝杨路1号,121.72351,31.225689
亿博大厦停车库,蕴川路1999弄,121.42926,31.382694
罗店宝龙广场停车库,杨南路2211号,121.35889,31.388807
吉浦路停车场,吉浦路521号,121.49064,31.31254
广联环境停车库,园康路255号,121.47684,31.275059
越界智汇园停车场,呼兰路799号,121.60676,31.281208
宝乐汇停车库,牡丹江路1569号,121.4854,31.399485
绿地顾村公园商务广场停车库,陆翔路111弄3号,121.38461,31.34367
淞宝市场停车场,永乐路388号,121.1163,31.145033
万渡广场停车场,共和新路5288号,121.45806000000005,31.22222000000005
舒诚商务中心停车场,宝杨路1850号,121.45806000000005,31.22222000000005
友谊都市产业服务中心停车库,宝杨路1369号,120.913925,31.101406
绿地北郊广场停车库,沪太路5355弄7号,121.37847,31.35725
和欣墅街停车库,纪蕴路320弄,121.47684,31.275059
翼生活广场停车库,水产路2449号,121.443504,31.366533
长江西路凯旋丽都停车场,长江西路2200号,121.44431,31.332657
大华婚庆中心停车库,华灵路1090号,121.47684,31.275059
朗香花园停车库,祁真路25号,121.13457,31.187302
中江洋停车场,泰和路1810号,121.1163,31.145033
庙行菜市场停车场,长临路1368号,121.431786,31.332594
中成智谷停车场,长江路250号,121.49638,31.349857
半岛1919产业园停车场,淞兴西路258号,121.4879,31.367325
齐盈生态停车场,铁城路1588号,121.49797,30.953869
场北商业广场停车库,场北路704号,121.42584,31.331804
长江西路北侧广场停车场,长江西路北侧广场（三泉路-长临路）,121.44431,31.332657
保利悦活荟停车库,长江西路388号,121.26076,31.116045
龙湖北城天街停车库,丹霞山路50弄1号,121.36073,31.361097
花园弄新街口停车场,花园弄新街口,121.14598,31.073809
江阳水产市场停车场,泰和路1700号,121.1163,31.145033
钢博会停车场,业绩路8号,121.45806000000005,31.22222000000005
优先生物停车库,园康路300号,121.47684,31.275059
东街休闲广场停车库,松兰路879号,121.443985,31.379795
电气都市工业园区停车场,长江西路850号23幢,121.1163,31.145033
乐桦坊停车库,真北路4288号,121.47684,31.275059
馨煌广场停车场,安家路15-29号,121.452934,31.022709
同济创园停车库,淞良路10号,121.49093,31.333141
卓越时代广场停车库,呼兰西路60弄,121.435616,31.338068
申菊新贸路停车场,新贸路2号,121.39689,31.347792
宝莲城北块停车库,海江路888弄1号,121.48599,31.389034
罗店上坤上街停车库,塘西街299弄,121.342674,31.418922
铁山路9号停车场,铁山路9号,121.46939,31.36057
敉平大厦停车库,城银路318号,121.352234,31.312244
润通集贸市场停车场,水产西路938号,121.44206,31.169735
陈川路停车场,陈川路58号临,121.3336,31.476215
逸骅工业设计中心停车场,高逸路88号,121.45806000000005,31.22222000000005
宝杨路18号停车场,宝杨路18号,121.48624,31.397915
邮轮港港区停车场,宝杨路1号,121.45806000000005,31.22222000000005
沪嘉高速汶水路桥孔停车场,沪嘉高速公路/汶水路桥孔,121.45806000000005,31.22222000000005
宝山区行政服务中心停车场,淞滨路1号,121.49992,31.375488
昇PARK文创产业区停车库,真大路520号,121.47684,31.275059
地铁刘行站公交枢纽停车库,陆翔路1018弄8号,121.36222,31.357668
新杨湾科创园停车场,江杨南路880号,121.467,31.322687
大华老镇嘉年华停车库,场中路4098号,121.647896,30.946136
真华路1780号停车库,真华路1780号,121.4117,31.28863
真华路1781号停车库,真华路1781号,121.41074,31.288275
文教产业园一期停车场,殷高路65号,121.45806000000005,31.22222000000005
文教产业园二期停车场,殷高路27号,121.45806000000005,31.22222000000005
三邻桥体育文化园停车场,江杨南路485号,121.45806000000005,31.22222000000005
